Gene symbol,Gene name,Hour(s) with a significant caste difference:,logFC at 2h,logFC at 4h,logFC at 6h,logFC at 8h
LOC725612,WASH complex subunit 5,8,0.03,-0.16,-0.11,-0.47
LOC100576131,zinc finger protein 267,8,0.43,-0.45,-0.09,-0.61
LOC412281,protein purity of essence,6,0.27,0.12,0.27,0.06
LOC410710,zinc transporter ZIP13 homolog,6,0.14,0.16,0.33,0.08
LOC552752,symplekin,8,0.05,-0.17,-0.08,-0.51
LOC724585,uncharacterized LOC724585,8,-0.03,-0.26,-0.07,-0.36
LOC412919,TATA box-binding protein-like protein 1,8,0.21,-0.16,-0.17,-0.6
LOC552020,neuromodulin,8,0.09,0.1,0.23,0.3
LOC725128,uncharacterized LOC725128,8,0.06,0.2,0.12,0.33
LOC100577742,uncharacterized LOC100577742,8,0.26,-0.39,-0.02,-0.56
LOC100577050,uncharacterized LOC100577050,8,0.06,-0.19,0.03,-0.61
LOC726175,nuclear protein 1,8,0.01,0.16,0.24,0.3
LOC413619,RNA polymerase II subunit A C-terminal domain phosphatase SSU72,4,-0.04,-0.33,-0.21,-0.13
LOC724925,delta(14)-sterol reductase,8,0.02,-0.21,-0.2,-0.32
LOC100576819,putative inactive caspase B,6,-0.18,-0.15,-0.33,-0.05
LOC102654640,pseudouridylate synthase 7 homolog,8,-0.11,-0.12,-0.05,-0.44
LOC413389,dual specificity mitogen-activated protein kinase kinase hemipterous,6,0.27,-0.01,0.3,0.15
LOC409323,uncharacterized LOC409323,8,0.08,0.19,0.22,0.23
LOC724977,partitioning defective protein 6,8,0.18,-0.15,-0.11,-0.64
LOC724593,transcriptional regulator ATRX homolog,8,-0.03,-0.14,-0.03,-0.5
LOC725571,protein transport protein Sec61 subunit alpha,4,0.1,-0.37,-0.28,-0.15
LOC412931,U3 small nucleolar RNA-associated protein 15 homolog,4,-0.13,-0.27,-0.21,-0.11
LOC726121,golgin subfamily A member 6-like protein 22,8,-0.22,0.26,0.09,0.58
LOC410169,twinfilin,4,-0.1,-0.32,-0.16,-0.13
LOC413438,"dynamin-like 120 kDa protein, mitochondrial",8,-0.02,-0.18,-0.07,-0.43
LOC551710,"electron transfer flavoprotein subunit alpha, mitochondrial",8,-0.02,0.17,0.09,0.47
LOC412560,cyclin-dependent kinase 9,"6, 8",0.1,-0.15,-0.33,-0.32
Prpf3,PRP3 pre-mRNA processing factor 3 homolog,8,-0.12,-0.09,-0.13,-0.36
LOC107965043,uncharacterized LOC107965043,8,-0.18,-0.21,0.15,-0.46
LOC725343,alkyldihydroxyacetonephosphate synthase,"4, 6",-0.04,-0.32,-0.33,-0.01
LOC411410,protein transport protein Sec24B,8,0.27,-0.12,-0.09,-0.76
LOC410606,"protein Skeletor, isoforms B/C",8,-0.06,0.01,0.34,0.41
LOC100576606,MATH and LRR domain-containing protein PFE0570w,8,0.1,-0.19,0.05,-0.66
LOC551365,lymphokine-activated killer T-cell-originated protein kinase,6,-0.16,-0.04,-0.37,-0.13
LOC725832,"beta-1,3-glucan-binding protein 1",8,-0.79,0.39,0.11,1
LOC550920,cell division cycle protein 16 homolog,6,-0.06,-0.2,-0.27,-0.17
LOC550818,guanine nucleotide-binding protein G(q) subunit alpha,8,0.16,-0.15,-0.13,-0.57
LOC552210,fumarylacetoacetase,8,-0.1,0.22,0.06,0.53
LOC552809,cytochrome c oxidase subunit NDUFA4,8,0,0.17,0.16,0.36
LOC726408,zinc finger protein 706,6,-0.15,-0.13,-0.29,-0.13
LOC408945,sorting nexin-27,4,-0.07,0.35,0.15,0.27
LOC551020,probable protein phosphatase 2C T23F11.1,8,0.1,-0.21,-0.07,-0.52
LOC107965039,uncharacterized LOC107965039,8,-0.11,0.14,0.1,0.57
LOC551612,FACT complex subunit spt16,8,0.02,-0.16,-0.14,-0.42
LOC725269,protein bark beetle,8,0.08,-0.09,-0.1,-0.58
LOC408754,TNF receptor-associated factor 4,6,-0.09,-0.11,-0.42,-0.08
LOC552674,shugoshin 2,8,-0.05,-0.13,-0.06,-0.44
LOC724757,histone H4,8,-0.1,0.29,0.14,0.38
LOC410383,calcium homeostasis endoplasmic reticulum protein,8,0.24,-0.2,-0.12,-0.61
LOC409155,"dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",8,0.13,-0.34,-0.08,-0.41
LOC411922,mitochondrial ribosome-associated GTPase 2,8,0.03,-0.13,-0.16,-0.44
LOC724368,dnaJ homolog subfamily A member 1,6,0.21,-0.28,-0.35,-0.28
GstS1,glutathione S-transferase S1,6,-0.05,-0.08,-0.44,-0.13
LOC551373,ectonucleoside triphosphate diphosphohydrolase 5,8,0.17,-0.15,-0.21,-0.51
LOC412198,UDP-glucose:glycoprotein glucosyltransferase,8,-0.08,-0.07,-0.09,-0.45
LOC411731,endoplasmic reticulum metallopeptidase 1,8,0.2,-0.26,-0.1,-0.53
LOC100578200,uncharacterized LOC100578200,6,-0.09,-0.19,-0.41,-0
LOC412481,protein king tubby,8,0.25,-0.1,-0.12,-0.72
LOC410357,protein ST7 homolog,4,0.01,-0.41,-0.13,-0.17
LOC408312,tyrosine-protein kinase transmembrane receptor Ror2,8,0.11,0.05,-0.21,-0.65
LOC102655034,calcium and integrin-binding family member 3,8,-0.08,0.12,0.23,0.42
LOC409278,apolipoprotein D,8,-0.04,0.19,0.11,0.42
LOC409423,male-specific lethal 1 homolog,8,-0.03,-0.1,-0.17,-0.39
LOC726248,protein artichoke,8,-0.05,-0.08,0.41,0.4
LOC552602,transmembrane emp24 domain-containing protein,6,-0.16,-0.11,-0.37,-0.06
LOC413657,"presequence protease, mitochondrial",8,-0.09,-0.15,-0.04,-0.4
Rps14,ribosomal protein S14,8,-0.09,0.24,0.06,0.49
LOC413796,"methionine--tRNA ligase, cytoplasmic",8,-0.14,-0.12,-0.08,-0.35
LOC552788,uncharacterized LOC552788,8,-0.05,-0.13,-0.19,-0.31
LOC410538,probable C-mannosyltransferase DPY19L1,8,-0.05,0.11,0.1,0.52
LOC102654517,uncharacterized LOC102654517,8,-0.13,0.27,0.09,0.46
LOC725530,uncharacterized LOC725530,8,-0.1,0.17,0.12,0.5
LOC102656862,uncharacterized LOC102656862,8,0.03,0.26,-0.33,0.73
LOC409308,small ubiquitin-related modifier,6,-0.03,-0.19,-0.3,-0.16
LOC411415,negative elongation factor D,"6, 8",-0.03,-0.05,-0.28,-0.33
LOC409333,CAAX prenyl protease 2,8,0.05,0.13,0.12,0.38
LOC552753,uncharacterized LOC552753,8,0.02,-0.1,-0.26,-0.34
LOC552532,"probable leucine--tRNA ligase, mitochondrial",8,-0.12,-0.11,-0.05,-0.41
LOC406146,hyaluronoglucosaminidase,8,-0.05,0.22,-0.02,0.53
LOC408728,mediator of RNA polymerase II transcription subunit 18,6,-0.03,-0.12,-0.48,-0.04
LOC551412,polycomb protein EED,"6, 8",-0.03,-0.08,-0.25,-0.32
LOC102655523,transmembrane protein 218,"4, 6",0.09,-0.43,-0.42,0.08
LOC725055,gamma-glutamylcyclotransferase,8,-0.12,-0.02,-0.27,-0.27
LOC552282,probable Bax inhibitor 1,8,0.07,0.15,0.14,0.32
LOC551586,programmed cell death protein 5,6,-0.25,-0.06,-0.33,-0.04
LOC727087,serine/arginine-rich splicing factor 7,"6, 8",-0.05,-0.07,-0.31,-0.25
LOC102655466,ADP-ribosylation factor-like protein 6,8,-0.17,0.18,0.02,0.63
LOC552198,pleiotropic regulator 1,8,0.1,0.1,0.14,0.34
LOC411573,cell cycle control protein 50A,6,0.02,-0.24,-0.26,-0.2
LOC413407,transcription elongation factor B polypeptide 3,8,-0.07,-0.07,-0.1,-0.43
LOC725268,S1 RNA-binding domain-containing protein 1,8,-0.09,-0.07,-0.1,-0.42
LOC412172,SHC-transforming protein 1,8,0.03,-0.23,-0.17,-0.31
LOC100578332,uncharacterized LOC100578332,8,0.3,-0.03,-0.12,-0.82
LOC551593,sphingosine-1-phosphate lyase,8,0.05,-0.28,-0.14,-0.3
LOC552703,KAT8 regulatory NSL complex subunit 2,8,-0.16,-0.1,-0.17,-0.23
LOC726631,F-box/WD repeat-containing protein 4,"4, 6",0.05,-0.27,-0.28,-0.17
LOC727350,ceramide synthase 6,8,0.04,-0.16,-0.13,-0.41
LOC726784,sphingosine-1-phosphate phosphatase 1,"4, 6",-0.1,-0.27,-0.25,-0.05
LOC550694,T-complex protein 1 subunit eta,8,-0.05,-0.1,-0.19,-0.33
LOC727308,ephrin-B2,8,0.01,0.17,0.22,0.27
LOC410470,putative polypeptide N-acetylgalactosaminyltransferase 9,8,0.37,-0.27,0.06,-0.83
LOC551701,late secretory pathway protein AVL9 homolog,8,0.03,-0.1,0.11,-0.72
LOC552085,developmentally-regulated GTP-binding protein 2,4,0.01,-0.33,-0.23,-0.12
LOC550664,deubiquitinase DESI2,6,-0.03,-0.19,-0.33,-0.11
LOC409403,ubiquitin carboxyl-terminal hydrolase 30 homolog,8,-0.03,-0.12,-0.1,-0.42
LOC724567,methylosome protein 50,6,-0.09,-0.19,-0.36,-0.03
LOC100576174,uncharacterized LOC100576174,6,0.06,-0.23,-0.37,-0.13
LOC503505,venom protein 2,8,-0.14,0.27,0.14,0.4
LOC411351,"elongation factor G, mitochondrial",8,-0.1,-0.08,-0.09,-0.4
LOC413379,yellow-g,6,-0.44,0.24,-1.17,0.7
LOC552186,cell division cycle protein 20 homolog,6,-0.17,-0.15,-0.25,-0.11
LOC411790,mitochondrial glycine transporter,6,-0.06,-0.22,-0.44,0.05
LOC413484,uncharacterized LOC413484,"6, 8",-0.13,-0.04,-0.28,-0.21
LOC724991,phosphatidylinositol 4-phosphate 5-kinase type-1 alpha,8,0.14,-0,0.18,0.35
LOC724619,multiple inositol polyphosphate phosphatase 1,6,-0.07,-0.28,-0.51,0.2
LOC413018,exportin-1,8,0.22,-0.16,-0.15,-0.57
LOC410079,zinc finger protein 385B,8,-0.06,0.26,0.17,0.29
LOC727275,proliferating cell nuclear antigen,6,-0.05,-0.13,-0.36,-0.12
LOC102654165,transmembrane protein 132C,8,0.39,-0.22,0.12,-0.95
LOC409880,26S proteasome non-ATPase regulatory subunit 12,6,-0.14,-0.12,-0.27,-0.13
LOC113218605,DNA ligase 1-like,6,-0.09,0.23,0.45,0.07
LOC412540,carcinine transporter,8,0.26,-0.07,-0.36,-0.49
LOC552051,dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,6,-0.04,-0.17,-0.31,-0.14
LOC113219111,"glycine cleavage system H protein, mitochondrial",8,-0.04,-0.09,0.2,0.6
LOC726196,ubiquitin-fold modifier 1,6,0.05,-0.23,-0.32,-0.15
LOC409741,rho GDP-dissociation inhibitor 2,"6, 8",-0.06,-0.14,-0.21,-0.24
LOC726093,tetratricopeptide repeat protein 14 homolog,8,0.06,-0.14,-0.2,-0.38
LOC412027,histone-lysine N-methyltransferase PR-Set7,8,0.22,-0.16,-0.02,-0.68
LOC725274,3-hydroxyacyl-CoA dehydrogenase type-2,8,0.01,0.16,0.09,0.39
LOC552141,"beta-1,4-N-acetylgalactosaminyltransferase bre-4",8,-0.04,-0.09,-0.2,-0.33
LOC724123,translation initiation factor eIF-2B subunit delta,8,-0,-0.15,-0.16,-0.34
LOC411699,SID1 transmembrane family member 1,6,-0.1,-0.14,-0.28,-0.13
LOC410040,serine/arginine-rich splicing factor 1B,8,-0.05,-0.11,-0.21,-0.28
LOC726336,splicing factor 3B subunit 2,8,-0.09,-0.11,-0.06,-0.4
LOC102656263,protein farnesyltransferase subunit beta,"6, 8",-0.08,-0.15,-0.23,-0.2
LOC409768,uncharacterized protein DDB_G0272420,8,0.03,-0.07,-0.26,-0.34
LOC552152,"28S ribosomal protein S24, mitochondrial",6,-0.15,-0.15,-0.32,-0.03
LOC724408,ras-related GTP-binding protein A,4,-0.19,-0.25,-0.19,-0.02
LOC725550,proteasome activator complex subunit 4A,8,0.09,-0.15,-0.08,-0.5
LOC412917,probable serine/threonine-protein kinase dyrk2,8,0.1,0.09,0.22,0.23
LOC410999,"L-2-hydroxyglutarate dehydrogenase, mitochondrial","4, 8",-0.11,0.3,0.16,0.3
LOC102655648,FAD synthase,8,0.04,-0.26,-0.11,-0.32
LOC409645,MAPK regulated corepressor interacting protein 2,6,-0.02,-0.25,-0.33,-0.04
LOC551350,myotrophin,"6, 8",-0.01,-0.15,-0.2,-0.29
LOC409197,protein Dr1,"6, 8",-0.09,-0.08,-0.28,-0.2
LOC409457,eIF-2-alpha kinase activator GCN1,8,0.14,-0.2,-0.21,-0.37
LOC408850,pre-mRNA-processing factor 39,8,0.08,-0.26,-0.14,-0.33
LOC100576512,U8-agatoxin-Ao1a,8,-0.02,-0,0.14,0.52
Akhr,adipokinetic hormone receptor,8,0.2,0.03,0.03,0.39
LOC409552,40S ribosomal protein S10,8,-0.05,0.16,0.02,0.52
LOC724331,pre-mRNA-splicing factor CWC22 homolog,8,0.09,-0.18,-0.08,-0.47
LOC412787,protein TAPT1 homolog,8,0.05,-0.23,-0.17,-0.29
LOC551809,putative elongator complex protein 1,8,-0.05,-0.08,-0.12,-0.39
LOC551090,conserved oligomeric Golgi complex subunit 8,8,-0.04,-0.04,-0.22,-0.33
LOC409063,cysteine sulfinic acid decarboxylase,6,0.02,-0,-0.62,-0.04
LOC408519,serine/threonine-protein kinase 10,6,0.19,0.2,0.27,-0.02
LOC726913,cytochrome b5,8,0.11,0.01,0.06,0.46
LOC410533,ceramide-1-phosphate transfer protein,8,0.13,-0.01,0.2,0.33
LOC724207,phospholipid scramblase 2,"4, 8",-0.06,0.32,0.11,0.28
LOC409499,UDP-glucose 4-epimerase,6,-0.15,-0.05,-0.44,-0.01
LOC410990,nucleolar protein 9,8,0.06,-0.21,-0.07,-0.42
LOC724160,uncharacterized LOC724160,8,-0.03,-0.17,-0.05,-0.38
LOC412596,trafficking protein particle complex subunit 12,6,-0.06,-0.23,-0.23,-0.11
LOC408578,armadillo repeat-containing protein 6 homolog,6,-0.09,-0.15,-0.24,-0.16
LOC552354,protein slowmo,8,0.03,0.09,0.1,0.42
LOC551401,cytosolic 10-formyltetrahydrofolate dehydrogenase,8,0.19,0.17,-0.42,-0.57
LOC413080,"pyruvate dehydrogenase [acetyl-transferring]-phosphatase 1, mitochondrial",8,-0.02,-0.19,-0.19,-0.23
LOC725587,serine/arginine repetitive matrix protein 5,6,-0.19,-0.02,-0.34,-0.09
LOC551801,host cell factor 1,8,0.22,-0.16,-0.07,-0.63
LOC409045,transcription elongation regulator 1,8,-0.09,-0.05,-0.08,-0.42
LOC551128,26S proteasome regulatory subunit 4,6,-0.04,-0.07,-0.29,-0.24
LOC725491,GPI mannosyltransferase 1,"4, 6",-0.02,-0.25,-0.23,-0.14
LOC413636,exportin-7,8,0.14,-0.18,-0.17,-0.43
LOC413171,myosin-I heavy chain,4,0.1,0.45,0.05,0.03
LOC409341,lysosomal aspartic protease,8,0.01,0.07,0.07,0.49
LOC727227,epidermal growth factor receptor substrate 15-like 1,8,0.02,-0.16,-0.1,-0.4
LOC100578154,uncharacterized LOC100578154,8,-0.22,0.09,0.09,0.68
LOC413663,myotubularin-related protein 4,8,0.09,0.13,0.22,0.2
LOC413495,mediator of RNA polymerase II transcription subunit 27,6,-0.14,-0.05,-0.3,-0.14
LOC551012,cation-independent mannose-6-phosphate receptor,8,0.02,-0.07,-0.13,-0.45
LOC409337,zinc finger MIZ domain-containing protein 1,8,0.35,-0.12,0.08,-0.94
LOC412739,roundabout homolog 2,8,0.13,-0.05,0.08,-0.79
LOC551658,anillin,"6, 8",-0.07,-0.07,-0.25,-0.23
LOC726277,anaphase-promoting complex subunit CDC26,8,-0.01,0.11,0.12,0.41
LOC100578947,SUN domain-containing ossification factor,8,0.11,-0.19,0.01,-0.56
LOC102654315,serine/threonine-protein kinase Nek5,8,-0.58,-0.11,0.38,0.94
LOC409942,interference hedgehog,8,0.08,-0.06,-0.05,-0.6
LOC551573,tyrosine-protein phosphatase non-receptor type 4,8,0.45,-0.16,-0.04,-0.87
LOC408952,oxysterol-binding protein 1,8,0.15,0.05,0.18,0.25
LOC100577398,uncharacterized LOC100577398,8,-0.15,0.21,0.02,0.55
LOC725781,syndetin,8,-0.05,-0.13,-0.06,-0.38
LOC726819,ATP-dependent RNA helicase DDX51,8,0.14,-0.2,-0.03,-0.53
LOC409920,ubiquitin-conjugating enzyme E2 variant 2,6,0.08,-0.26,-0.24,-0.2
LOC552346,coatomer subunit delta,8,0.06,-0.2,-0.04,-0.44
LOC408598,MAGUK p55 subfamily member 7,8,0.06,0.04,0.09,0.43
LOC411796,serine hydroxymethyltransferase,8,0.12,0.09,0.13,0.29
LOC725184,gamma-aminobutyric acid receptor-associated protein,8,0.04,0.12,0.07,0.39
LOC411071,dnaJ protein homolog 1,4,0.46,-0.64,-0.4,-0.04
LOC409476,nuclear cap-binding protein subunit 1,8,-0.02,-0.1,-0.19,-0.31
LOC100578253,Golgi integral membrane protein 4,8,-0.09,-0.19,-0.15,-0.19
LOC107964271,uncharacterized LOC107964271,8,-0.03,0.17,-0.48,0.96
LOC409893,protein alan shepard,"6, 8",-0.02,-0.01,-0.24,-0.35
LOC410838,ubiquitin-conjugating enzyme E2 R2,8,-0.02,0.16,0.15,0.33
LOC726869,transmembrane protein 209,8,0.08,-0.15,-0.23,-0.32
LOC552497,roquin-1,8,0.07,-0.19,0.04,-0.54
LOC724226,acyl-CoA Delta(11) desaturase,8,0.03,0.25,0.04,0.3
LOC551518,glutamyl aminopeptidase,8,-0.06,-0.15,-0.11,-0.29
LOC552572,eukaryotic translation initiation factor 5A,"6, 8",0,-0.09,-0.19,-0.33
LOC411960,zinc finger protein 184,8,0.17,-0.18,-0.12,-0.48
LOC408923,transcription initiation factor TFIID subunit 4,"4, 6",0.33,-0.44,-0.31,-0.19
LOC725515,zinc finger protein 543,8,0.3,-0.29,-0.02,-0.61
LOC413754,polycomb protein Sfmbt,8,0.45,-0.23,0.22,-1.06
LOC100576968,merlin,8,0.08,-0.2,-0.05,-0.45
LOC552036,suppressor of cytokine signaling 5,8,0.03,-0.18,-0.17,-0.29
LOC724262,putative peroxisomal biogenesis factor 10,8,-0.14,0.19,0.12,0.45
LOC551992,rRNA 2'-O-methyltransferase fibrillarin,6,-0.01,-0.2,-0.24,-0.17
LOC552108,adhesion G protein-coupled receptor A3,8,0.04,-0.07,-0.03,-0.56
LOC107964202,uncharacterized LOC107964202,8,0.08,0.12,0.16,0.26
LOC100577976,GSK3-beta interaction protein,8,-0.13,0.12,0.08,0.55
LOC100577451,glycolipid transfer protein,"4, 6, 8",0.07,-0.22,-0.26,-0.2
LOC410070,centrosome-associated protein 350,8,0.29,-0.13,0.03,-0.8
LOC412543,uncharacterized LOC412543,8,-0.05,0.14,0.09,0.43
LOC551291,spectrin alpha chain,6,0.05,0.14,0.24,0.18
LOC726726,serine/arginine repetitive matrix protein 1,8,-0.1,-0.07,0,-0.44
LOC410283,transmembrane protein 222,8,0.1,0.1,0.02,0.39
LOC102654952,lipase 3,6,-0.05,-0.11,-0.28,-0.17
Brd7,bromodomain containing 7,6,0.21,0.15,0.29,-0.04
LOC552567,DEAD-box helicase Dbp80,8,0.03,-0.1,-0.2,-0.34
LOC551169,"succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",6,-0.12,-0.17,-0.34,0.03
LOC410726,putative E3 ubiquitin-protein ligase UBR7,6,-0.13,-0.08,-0.29,-0.11
LOC726303,N-acetyltransferase family 8 member 3,6,-0.11,-0.14,-0.41,0.06
LOC409497,zinc finger CCCH domain-containing protein 18,8,0.13,-0.19,0.08,-0.63
LOC551168,protein sidekick,8,0.06,0.13,-0.09,-0.71
LOC409494,"methylglutaconyl-CoA hydratase, mitochondrial",6,-0.1,-0.24,-0.3,0.03
Hsc70-3,heat shock 70 kDa protein cognate 3,8,0.18,-0.09,-0.34,-0.36
LOC409522,cell division cycle protein 27 homolog,8,0.14,-0.22,-0.05,-0.48
LOC408925,protein arginine N-methyltransferase 7,6,-0.09,-0.16,-0.24,-0.1
LOC412099,GRAM domain-containing protein 2B,8,0.2,-0.11,0.01,-0.71
Sod2,"superoxide dismutase 2, mitochondrial",8,0.03,0.13,0.09,0.35
LOC726438,centrosomal protein of 97 kDa,8,-0.02,-0.11,0.08,-0.55
LOC412426,"ubiquinone biosynthesis monooxygenase COQ6, mitochondrial",6,0.04,-0.23,-0.25,-0.15
LOC410227,inactive hydroxysteroid dehydrogenase-like protein 1,6,-0.08,0.07,0.41,0.2
LOC406152,juvenile hormone epoxide hydrolase 1,6,-0.11,-0.11,-0.25,-0.13
LOC552729,neuroguidin-A-like,8,0.2,-0.22,-0.12,-0.45
LOC412351,E3 ubiquitin-protein ligase TM129,6,-0.13,-0.07,-0.29,-0.11
LOC412529,tyrosine-protein phosphatase corkscrew,8,0.22,-0.25,-0.06,-0.51
LOC100577870,ras-related protein Rab-35,8,-0.03,-0.06,-0.12,-0.39
LOC100578090,uncharacterized LOC100578090,8,0.12,0.02,0.04,0.41
LOC726833,TOM1-like protein 2,8,0.11,-0.18,0.13,-0.67
LOC409229,phosphorylated adapter RNA export protein,8,0.2,-0.21,-0.15,-0.44
LOC413746,adrenodoxin,"6, 8",-0.01,-0.17,-0.23,-0.18
LOC412212,"apoptosis-inducing factor 1, mitochondrial",8,0.02,-0.13,-0.18,-0.31
LOC100577113,uncharacterized LOC100577113,8,0.11,-0.31,0.24,-0.64
LOC551436,T-complex protein 1 subunit theta,8,-0.07,-0.09,-0.15,-0.28
RpL32,ribosomal protein L32,8,-0.11,0.17,0.04,0.5
LOC413875,60S ribosomal protein L31,8,-0.12,0.15,0.09,0.48
LOC552175,mitochondrial-processing peptidase subunit alpha,8,0.06,0.11,0.14,0.29
LOC409708,glucosylceramidase-like,8,-0.09,0.05,0.14,0.5
LOC409717,uncharacterized LOC409717,6,0.11,0.18,0.33,-0.03
TpnCI,troponin C type I,8,-0,0.11,0.09,0.39
LOC412017,etoposide-induced protein 2.4,8,0.11,-0.18,-0.19,-0.33
LOC408843,F-box/WD repeat-containing protein 9,8,-0.03,0.11,0.14,0.37
LOC102654955,"ATP synthase subunit b, mitochondrial",8,-0.15,-0.1,-0.13,-0.21
LOC408288,"isovaleryl-CoA dehydrogenase, mitochondrial",8,-0.06,0.14,0.18,0.33
LOC411177,integrator complex subunit 3,8,0.01,-0.26,-0.08,-0.26
LOC412591,calcitonin gene-related peptide type 1 receptor,8,0.21,0.01,0.03,0.33
LOC724497,protein patched homolog 3,8,0.05,0.19,0.06,0.29
LOC409539,microtubule-associated protein 2,8,0.22,-0.14,0.08,-0.75
LOC552814,activating signal cointegrator 1 complex subunit 3,8,0.07,-0.12,-0.09,-0.45
LOC551438,actin-related protein 1,8,0.1,-0.26,-0.19,-0.24
LOC551574,polymerase delta-interacting protein 2,8,0.02,0.18,0.14,0.24
LOC551916,SH3 domain-binding glutamic acid-rich protein homolog,8,-0.07,-0.08,-0.15,-0.29
LOC551983,thymidylate synthase,6,-0.16,-0.08,-0.26,-0.09
LOC412345,exosome complex component RRP41,6,-0.08,-0.16,-0.29,-0.06
LOC550829,DNA-directed RNA polymerase II subunit RPB1,8,0.19,-0.08,-0.01,-0.69
Ppib,peptidylprolyl isomerase B (cyclophilin B),8,-0.14,-0.06,-0.19,-0.2
LOC100577369,HEAT repeat-containing protein 6,8,-0.03,-0.16,-0.07,-0.33
LOC412607,uncharacterized LOC412607,8,0.09,-0.16,-0.08,-0.43
LOC724536,uncharacterized LOC724536,8,0.3,-0.09,-0.02,-0.77
LOC409793,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",8,0.1,0.05,0.19,0.24
LOC408316,uncharacterized LOC408316,6,-0.01,0.04,0.49,0.07
LOC412157,HEAT repeat-containing protein 5B,8,0.08,0.04,-0.01,-0.7
LOC726029,probable RNA-binding protein 18,6,-0.26,-0.07,-0.25,-0
LOC409259,protein abrupt,8,0,-0.12,-0.08,-0.38
LOC410306,ADP-ribosylation factor 2,6,-0.1,-0.11,-0.24,-0.14
LOC551596,uncharacterized LOC551596,8,0.04,-0.14,-0.17,-0.31
LOC412422,mediator of RNA polymerase II transcription subunit 1,8,0.13,0.18,-0.27,-0.63
LOC551516,uncharacterized LOC551516,8,0.09,0.08,0.1,0.31
LOC100578718,protein distal antenna,8,-0.17,0.15,0.17,0.43
LOC724822,glucose-fructose oxidoreductase domain-containing protein 2,8,0.04,-0.2,-0.14,-0.27
LOC551644,40S ribosomal protein S15,8,-0.11,0.16,0.06,0.47
LOC552679,cytochrome P450 4c3,4,0.12,-0.49,-0.33,0.13
LOC726540,DNA (cytosine-5)-methyltransferase PliMCI,8,0.05,-0.07,-0.18,-0.38
LOC552064,AP-3 complex subunit beta-2,8,-0.1,-0.02,-0.01,-0.45
LOC409202,40S ribosomal protein S9,8,-0.04,0.12,0.07,0.43
LOC725897,syntaxin-16,8,0.16,-0.13,-0.13,-0.47
LOC411754,YTH domain-containing protein 1,8,0.13,-0.22,-0.02,-0.46
LOC409532,NAD-dependent protein deacetylase Sirt2,8,-0.01,-0.17,-0.14,-0.26
LOC726698,serine protease snake,8,0.08,0.13,0.14,0.23
LOC409865,protein retinal degeneration B,8,0.17,-0.13,-0.13,-0.48
LOC413869,retinol dehydrogenase 11,6,-0.1,-0.14,-0.23,-0.1
LOC725039,eukaryotic translation initiation factor 4E-binding protein 1,8,-0,0.11,0.15,0.32
LOC725980,"28S ribosomal protein S36, mitochondrial",8,-0.11,0.09,0.08,0.52
LOC410107,broad-complex core protein isoforms 1/2/3/4/5,8,0.61,-0.07,0.45,-1.56
LOC552018,probable tRNA (guanine(26)-N(2))-dimethyltransferase,8,-0.1,0.25,0.1,0.33
Nipped-B,nipped-B protein,8,0.19,0.08,0.03,-0.87
LOC409355,glutaredoxin 3,6,-0.11,-0.2,-0.31,0.05
LOC411359,"protein tumorous imaginal discs, mitochondrial",8,-0.09,-0.04,-0.12,-0.32
LOC726171,60S ribosomal protein L11,8,-0.1,0.17,0.03,0.47
LOC724672,SRSF protein kinase 3,"4, 8",0.07,-0.33,-0.07,-0.24
LOC409518,uncharacterized LOC409518,6,-0.04,0.11,0.37,0.13
LOC412513,uncharacterized LOC412513,8,0.06,-0.13,-0.15,-0.35
LOC551280,uncharacterized LOC551280,8,0.21,-0.28,0.17,-0.67
LOC102654121,protein YIPF5,6,-0.07,-0.11,-0.35,-0.04
LOC412526,protein disulfide-isomerase A6 homolog,"6, 8",-0.07,-0.02,-0.23,-0.25
LOC100578030,antitrypsin,6,-0.1,-0.14,-0.25,-0.08
LOC726325,uncharacterized LOC726325,8,0.21,-0.2,-0.12,-0.46
LOC408531,PRADC1-like protein,"6, 8",0.05,-0.15,-0.22,-0.25
LOC551712,"lipoyltransferase 1, mitochondrial","6, 8",0.1,0.05,0.19,0.22
LOC726822,geranylgeranyl transferase type-2 subunit beta,6,-0.17,-0.1,-0.27,-0.03
LOC413929,egl nine homolog 1,6,0.2,-0.2,0.34,0.23
LOC412444,chymotrypsin-like elastase family member 2A,8,0.05,-0.29,0.06,0.74
LOC113218716,protein C19orf12 homolog,6,-0.13,-0.09,-0.4,0.05
LOC409965,cyclin-dependent kinase 12,8,0.26,-0.26,-0.02,-0.54
LOC551256,protein CNPPD1,"6, 8",-0.02,-0.06,-0.25,-0.23
LOC551894,transient receptor potential mucolipin,8,0.28,-0.18,-0.07,-0.58
LOC100576359,integrator complex subunit 11,6,-0.11,-0.07,-0.3,-0.07
LOC408959,protein unc-13 homolog 4B,8,-0.11,-0.25,0.09,-0.29
LOC410612,solute carrier family 25 member 44,8,0.09,0.05,0.04,0.37
LOC413909,"tyrosine--tRNA ligase, cytoplasmic",6,-0.1,-0.11,-0.24,-0.11
