Gene symbol,Gene name,Significant temporal comparisons:,logFC: 0 vs 2h,logFC: 0 vs 4h,logFC: 0 vs 6h,logFC: 0 vs 8h,logFC: 2 vs 4h,logFC: 2 vs 6h,logFC: 2 vs 8h,logFC: 4 vs 6h,logFC: 4 vs 8h,logFC: 6 vs 8h
LOC100579005,uncharacterized LOC100579005,0 vs 8; 2 vs 8,-0.45,0.16,-0.59,-0.41,0.6,-0.14,0.04,-0.74,-0.57,0.31
CPR11,cuticular protein 11,0 vs 8; 2 vs 8,0.68,0.94,2.7,3.27,0.26,2.02,2.59,1.76,2.33,-1.88
TpnCIIIa,troponin C type IIIa,0 vs 8; 2 vs 8,-0.15,0.02,-0.24,-0.19,0.17,-0.09,-0.04,-0.26,-0.21,0.09
LOC100576132,uncharacterized LOC100576132,0 vs 8; 2 vs 8,-0.16,-0.26,-0.4,-0.6,-0.11,-0.25,-0.44,-0.14,-0.33,0.52
LOC724583,uncharacterized LOC724583,0 vs 8; 2 vs 8,0.06,0.29,0.66,1.04,0.24,0.6,0.98,0.37,0.74,-0.49
LOC551938,elongation of very long chain fatty acids protein AAEL008004,0 vs 8; 2 vs 8,0.45,0.29,0.66,0.93,-0.16,0.22,0.48,0.38,0.64,-0.5
LOC408696,uncharacterized LOC408696,0 vs 8; 2 vs 8,0.08,0.04,-0.22,-0.08,-0.04,-0.3,-0.16,-0.25,-0.11,0.18
LOC410227,inactive hydroxysteroid dehydrogenase-like protein 1,0 vs 8; 2 vs 8,0.07,0.25,0.82,0.77,0.18,0.75,0.71,0.57,0.52,-0.67
LOC550724,3-hydroxy-3-methylglutaryl-coenzyme A reductase,0 vs 8; 2 vs 8,0.15,0.05,0.36,0.4,-0.1,0.21,0.25,0.31,0.35,-0.34
LOC413583,uncharacterized LOC413583,0 vs 8; 2 vs 8,0.21,0.31,0.62,0.52,0.11,0.41,0.31,0.31,0.2,-0.47
LOC725204,tyrosine aminotransferase,0 vs 8; 2 vs 8,-0.19,0.01,-0.55,-0.5,0.19,-0.37,-0.32,-0.56,-0.51,0.51
LOC724121,uncharacterized LOC724121,0 vs 8; 2 vs 8,0.17,0.01,-0.26,-0.4,-0.16,-0.43,-0.57,-0.27,-0.41,0.28
LOC409204,phenoloxidase-activating factor 2,0 vs 8; 2 vs 8,-0.39,-1.05,-0.6,-1.3,-0.66,-0.2,-0.9,0.46,-0.24,0.49
LOC552277,class E basic helix-loop-helix protein 22,0 vs 8; 2 vs 8,-0.26,-0.2,-0.72,-0.67,0.05,-0.46,-0.42,-0.52,-0.47,0.56
LOC409816,MORN repeat-containing protein 4 homolog,0 vs 8; 2 vs 8,-0.04,-0.37,-0.12,-0.08,-0.33,-0.08,-0.05,0.25,0.29,0.22
LOC409065,TAR DNA-binding protein 43,0 vs 8; 2 vs 8,0.09,-0.01,-0.15,-0.33,-0.1,-0.25,-0.42,-0.14,-0.32,0.17
LOC725541,protein spaetzle 5,0 vs 8; 2 vs 8,0.67,0.75,2.91,4.04,0.08,2.24,3.37,2.16,3.29,-2.86
LOC552578,uncharacterized LOC552578,0 vs 8; 2 vs 8,-0.16,-0.37,-0.79,-0.91,-0.2,-0.63,-0.74,-0.43,-0.54,0.8
LOC102654355,uncharacterized LOC102654355,0 vs 8; 2 vs 8,0.64,1.11,3.14,4.56,0.47,2.5,3.92,2.03,3.45,-2.73
LOC100577847,uncharacterized LOC100577847,0 vs 8; 2 vs 8,0.78,0.91,1.96,2.44,0.13,1.18,1.65,1.05,1.53,-1.7
LOC551970,dual oxidase,0 vs 8; 2 vs 8,0.65,0.92,1.93,2.12,0.27,1.28,1.47,1.01,1.2,-1.35
LOC551458,leucine-rich repeat-containing protein 20,0 vs 8; 2 vs 8,0.06,0.12,0.52,0.65,0.05,0.46,0.58,0.4,0.53,-0.38
LOC410744,"glucose dehydrogenase [FAD, quinone]",0 vs 8; 2 vs 8,2.09,0.99,3.39,4.92,-1.11,1.29,2.82,2.4,3.93,-2.42
LOC113219221,esterase E4-like,0 vs 8; 2 vs 8,0.62,1.53,1.61,1.93,0.91,0.99,1.31,0.08,0.39,-1.83
LOC552459,glycine-rich cell wall structural protein,0 vs 8; 2 vs 8,0.05,0.79,0.41,0.31,0.74,0.36,0.27,-0.38,-0.48,-0.5
LOC412748,ATP-binding cassette sub-family G member 1,0 vs 8; 2 vs 8,0.2,0.3,0.89,1.26,0.1,0.7,1.06,0.59,0.95,-0.85
LOC408470,NAD kinase,0 vs 8; 2 vs 8,0.47,0.1,0.42,0.64,-0.37,-0.05,0.16,0.32,0.54,-0.28
LOC100578699,uncharacterized LOC100578699,0 vs 8; 2 vs 8,0.47,0.38,1.83,2.42,-0.09,1.36,1.95,1.45,2.03,-1.85
LOC410006,uncharacterized LOC410006,0 vs 8; 2 vs 8,-0.09,-0.17,-0.4,-0.38,-0.09,-0.31,-0.3,-0.22,-0.21,0.46
LOC100578664,organic solute transporter alpha-like protein,0 vs 8; 2 vs 8,0.85,0.33,1.27,2.2,-0.51,0.43,1.35,0.94,1.87,-0.77
LOC413054,myeloperoxidase,0 vs 8; 2 vs 8,0.48,0.16,1.26,2.03,-0.32,0.79,1.55,1.11,1.87,-1.21
Cat,catalase,0 vs 8; 2 vs 8,-0.12,-0.28,-0.66,-0.62,-0.16,-0.54,-0.5,-0.37,-0.34,0.5
LOC102656919,uncharacterized LOC102656919,0 vs 8; 2 vs 8,-0.36,-0.32,-1.41,-0.95,0.04,-1.05,-0.59,-1.09,-0.63,1.49
LOC412316,sodium/potassium/calcium exchanger 3,0 vs 8; 2 vs 8,0.14,0.15,0.51,0.55,0,0.36,0.41,0.36,0.4,-0.49
LOC408525,neuronal acetylcholine receptor subunit alpha-10,0 vs 8; 2 vs 8,-0.08,-0.11,0.02,0.31,-0.03,0.1,0.39,0.13,0.42,-0.07
LOC551232,probable nuclear hormone receptor HR38,0 vs 8; 2 vs 8,0.75,0.76,1.22,1.57,0.02,0.48,0.82,0.46,0.81,-0.83
LOC413190,calcium-dependent protein kinase 4,0 vs 8; 2 vs 8,-0.18,0.03,-0.37,-0.53,0.21,-0.19,-0.35,-0.4,-0.56,0.25
LOC409598,uncharacterized LOC409598,0 vs 8; 2 vs 8,0.94,1.66,2.76,2.5,0.72,1.81,1.56,1.09,0.84,-2.13
LOC724585,uncharacterized LOC724585,0 vs 8; 2 vs 8,-0.02,-0.05,0.03,0.15,-0.04,0.05,0.16,0.09,0.2,-0.02
LOC102653939,uncharacterized LOC102653939,0 vs 8; 2 vs 8,2.23,1.88,2.88,3.46,-0.35,0.65,1.23,1,1.58,-1.86
LOC725361,A disintegrin and metalloproteinase with thrombospondin motifs adt-1,0 vs 8; 2 vs 8,0.16,0.12,0.33,0.31,-0.04,0.18,0.15,0.22,0.19,-0.32
LOC100577307,uncharacterized LOC100577307,0 vs 8; 2 vs 8,0.27,0.96,2.4,2.51,0.69,2.13,2.25,1.44,1.55,-2.29
LOC102656611,glycine-rich cell wall structural protein-like,0 vs 8; 2 vs 8,1.26,2.41,4.5,5.37,1.15,3.25,4.11,2.09,2.96,-3.62
LOC409740,alpha-tocopherol transfer protein-like,0 vs 8; 2 vs 8,1.21,0.02,3.64,5.71,-1.19,2.43,4.5,3.62,5.69,-3.77
LOC726458,ETS-like protein pointed,0 vs 8; 2 vs 8,-0.05,-0.19,-0.23,-0.31,-0.14,-0.18,-0.26,-0.04,-0.12,0.3
LOC727578,uncharacterized LOC727578,0 vs 8; 2 vs 8,0.13,-0.02,1,1.29,-0.15,0.87,1.17,1.02,1.31,-0.95
LOC411692,elongation of very long chain fatty acids protein 4,0 vs 8; 2 vs 8,1.1,1.85,3.32,3.55,0.74,2.22,2.44,1.47,1.7,-2.43
LOC107965043,uncharacterized LOC107965043,0 vs 8; 2 vs 8,-0.11,-0.14,0.25,0.17,-0.03,0.36,0.28,0.39,0.31,-0.18
LOC100577772,uncharacterized LOC100577772,0 vs 8; 2 vs 8,0.3,-0.32,-0.48,-0.62,-0.62,-0.78,-0.91,-0.16,-0.3,0.42
LOC412088,mucin-12,0 vs 8; 2 vs 8,0.08,0.42,0.04,0.07,0.35,-0.04,-0.01,-0.38,-0.36,-0.19
LOC725899,alpha-N-acetylgalactosaminidase,0 vs 8; 2 vs 8,0.1,0.12,0.45,0.84,0.02,0.34,0.74,0.32,0.72,-0.38
LOC100576284,uncharacterized LOC100576284,0 vs 8; 2 vs 8,3.44,2.48,5.96,7.59,-0.95,2.53,4.15,3.48,5.11,-4.82
LOC726658,uncharacterized LOC726658,0 vs 8; 2 vs 8,0.11,0.71,1.24,1.48,0.6,1.13,1.38,0.53,0.77,-1.43
LOC100576488,uncharacterized LOC100576488,0 vs 8; 2 vs 8,0.53,0.28,1.97,2.74,-0.25,1.44,2.2,1.69,2.45,-1.89
Jhe,juvenile hormone esterase,0 vs 8; 2 vs 8,0.19,0.16,0.32,0.33,-0.03,0.13,0.15,0.16,0.18,-0.36
LOC725289,low-density lipoprotein receptor-related protein 2,0 vs 8; 2 vs 8,-0.16,-0.1,-0.38,-0.32,0.05,-0.22,-0.17,-0.28,-0.22,0.31
LOC725366,anosmin-1,0 vs 8; 2 vs 8,0.17,0.25,0.51,0.53,0.08,0.33,0.35,0.26,0.28,-0.37
LOC552261,EF-hand domain-containing protein D2 homolog,0 vs 8; 2 vs 8,0.03,0.13,0.3,-0.1,0.1,0.27,-0.13,0.17,-0.23,-0.24
LOC551363,vesicle transport through interaction with t-SNAREs homolog 1A,0 vs 8; 2 vs 8,0.18,0.13,0.22,0.24,-0.05,0.04,0.06,0.08,0.1,-0.21
Pkc,protein kinase C,0 vs 8; 2 vs 8,-0.05,0.03,-0.15,-0.11,0.08,-0.1,-0.06,-0.18,-0.14,0.07
LOC552672,proclotting enzyme,0 vs 8; 2 vs 8,0.23,0.73,0.27,0.13,0.5,0.04,-0.1,-0.47,-0.6,-0.15
LOC552303,RNA-binding protein cabeza,0 vs 8; 2 vs 8,-0.11,-0.51,-0.68,-0.96,-0.39,-0.57,-0.84,-0.18,-0.45,0.7
LOC410402,serine proteinase stubble,0 vs 8; 2 vs 8,0.73,1.42,2.82,3.12,0.69,2.1,2.39,1.41,1.7,-2.02
LOC725539,phosphoacetylglucosamine mutase,0 vs 8; 2 vs 8,-0.09,0.06,0.31,0.22,0.15,0.4,0.31,0.25,0.16,-0.33
LOC409822,enhancer of split m7 protein,0 vs 8; 2 vs 8,-0.17,-0,-0.24,0.15,0.16,-0.08,0.31,-0.24,0.15,0.26
LOC551761,alpha-tocopherol transfer protein-like,0 vs 8; 2 vs 8,0.28,0.01,0.65,1.31,-0.27,0.36,1.03,0.64,1.3,-0.58
LOC725791,uncharacterized LOC725791,0 vs 8; 2 vs 8,-0.07,-0.14,-0.4,-0.71,-0.07,-0.33,-0.64,-0.26,-0.57,0.5
LOC100578665,uncharacterized LOC100578665,0 vs 8; 2 vs 8,-0.11,-0.28,-0.18,-0.32,-0.17,-0.06,-0.2,0.11,-0.03,0.14
LOC552276,uncharacterized LOC552276,0 vs 8; 2 vs 8,0.49,0.17,1.13,1.92,-0.32,0.64,1.43,0.96,1.75,-0.9
sGCbeta-3,soluble guanylyl cyclase beta-3,0 vs 8; 2 vs 8,0.08,-0.11,-0.19,-0.31,-0.18,-0.27,-0.38,-0.09,-0.2,0.08
LOC410894,chymotrypsin-1,0 vs 8; 2 vs 8,0.05,-0.59,-1.17,-1.34,-0.65,-1.22,-1.39,-0.58,-0.75,1.04
LOC100578770,uncharacterized LOC100578770,0 vs 8; 2 vs 8,0.68,0.93,2.46,3.28,0.24,1.77,2.6,1.53,2.36,-1.99
LOC413048,bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2,0 vs 8; 2 vs 8,0.06,-0.11,0.79,1.38,-0.17,0.73,1.32,0.9,1.49,-0.84
LOC410293,collectin-11,0 vs 8; 2 vs 8,0.44,0.18,0.9,1.5,-0.26,0.46,1.06,0.72,1.31,-0.96
LOC408896,semaphorin-2A,0 vs 8; 2 vs 8,-0.24,-0.22,-0.74,-0.8,0.02,-0.5,-0.56,-0.52,-0.58,0.65
LOC411187,L-lactate dehydrogenase,0 vs 8; 2 vs 8,0.01,-0.47,-0.04,0.21,-0.48,-0.05,0.2,0.43,0.68,-0.05
LOC107964315,uncharacterized LOC107964315,0 vs 8; 2 vs 8,0.3,0.2,0.23,0.08,-0.1,-0.07,-0.22,0.03,-0.11,-0.15
LOC410177,phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1,0 vs 8; 2 vs 8,-0.25,-0.02,0.12,0.42,0.23,0.37,0.67,0.14,0.44,-0.1
LOC726733,cysteine-rich protein 1,0 vs 8; 2 vs 8,0.02,0.2,-0.09,-0.08,0.18,-0.11,-0.1,-0.28,-0.28,0.1
LOC408864,waprin-Phi1,0 vs 8; 2 vs 8,0.12,0.13,0.05,0.03,0.01,-0.06,-0.09,-0.07,-0.1,-0.13
Burs,bursicon subunit alpha,0 vs 8; 2 vs 8,-0.14,0.21,0,0.1,0.34,0.14,0.23,-0.21,-0.11,-0.09
LOC102655429,proline-rich protein 36-like,0 vs 8; 2 vs 8,4.55,1.9,8.82,11.7,-2.64,4.27,7.16,6.91,9.8,-7.42
LOC725627,clotting factor B,0 vs 8; 2 vs 8,0.47,0.18,1.32,2.19,-0.29,0.85,1.72,1.15,2.02,-1.21
LOC551553,facilitated trehalose transporter Tret1,0 vs 8; 2 vs 8,0.35,0.43,0.91,1.3,0.08,0.56,0.95,0.47,0.87,-0.82
LOC552689,estradiol 17-beta-dehydrogenase 11,0 vs 8; 2 vs 8,0.13,0.36,0.99,1,0.23,0.86,0.86,0.63,0.63,-0.82
LOC113218599,uncharacterized LOC113218599,0 vs 8; 2 vs 8,0.97,-0.03,2.12,3,-0.99,1.15,2.04,2.14,3.03,-1.51
LOC413305,lysophospholipid acyltransferase 7,0 vs 8; 2 vs 8,-0.08,0.05,0.21,0.41,0.13,0.29,0.49,0.16,0.36,-0.27
HEX70b,hexamerin 70b,0 vs 8; 2 vs 8,0.9,3.78,5.13,6.52,2.88,4.23,5.62,1.35,2.73,-4.6
LOC102653784,uncharacterized LOC102653784,0 vs 8; 2 vs 8,1.75,0.53,4.18,6.53,-1.22,2.43,4.78,3.65,6,-3.67
LOC552832,glycine N-methyltransferase,0 vs 8; 2 vs 8,0.15,0.07,0.21,0.53,-0.07,0.07,0.38,0.14,0.46,-0.21
LOC408695,uncharacterized LOC408695,0 vs 8; 2 vs 8,0.09,0.09,-0.29,-0.29,0,-0.38,-0.38,-0.38,-0.38,0.37
LOC100578515,uncharacterized LOC100578515,0 vs 8; 2 vs 8,0.14,0.09,0.14,0.37,-0.05,0.01,0.24,0.05,0.28,-0.07
LOC100578824,zinc finger protein ZIC 4,0 vs 8; 2 vs 8,-0.25,-0.17,-0.53,-0.51,0.09,-0.27,-0.26,-0.36,-0.35,0.55
LOC102654656,uncharacterized LOC102654656,0 vs 8; 2 vs 8,1.41,1.33,4.01,4.87,-0.09,2.6,3.46,2.69,3.55,-3.47
LOC551515,protein real-time,0 vs 8; 2 vs 8,0.11,0.11,0.17,0.15,0,0.06,0.04,0.06,0.04,-0.14
LOC100576225,uncharacterized LOC100576225,0 vs 8; 2 vs 8,1.43,-0.06,2.57,4.14,-1.5,1.14,2.71,2.64,4.2,-2.17
LOC102656294,uncharacterized LOC102656294,0 vs 8; 2 vs 8,0.88,-0.12,1.32,2.7,-1,0.44,1.82,1.44,2.83,-1.27
LOC113219054,uncharacterized LOC113219054,0 vs 8; 2 vs 8,1.42,1.08,3.24,3.72,-0.34,1.82,2.3,2.15,2.64,-2.82
LOC724464,cuticular protein,0 vs 8; 2 vs 8,1.17,1.08,3.71,4.79,-0.09,2.54,3.62,2.63,3.71,-3.83
LOC552667,protein charybde,0 vs 8; 2 vs 8,0.11,0.13,0.16,0.31,0.02,0.05,0.2,0.03,0.18,-0.11
LOC411358,trypsin-1,0 vs 8; 2 vs 8,3.35,3.14,6.4,7.19,-0.21,3.05,3.84,3.26,4.05,-4.39
LOC102655476,hornerin,0 vs 8; 2 vs 8,5.08,5.66,9.11,10.32,0.58,4.04,5.25,3.46,4.67,-6.6
LOC408972,muscle-specific protein 20,0 vs 8; 2 vs 8,-0.04,-0.04,-0.45,-0.5,0.01,-0.41,-0.46,-0.42,-0.46,0.41
LOC100578514,keratinocyte proline-rich protein,0 vs 8; 2 vs 8,1.28,0.4,2.7,4.46,-0.88,1.41,3.18,2.3,4.07,-2.69
LOC726997,uncharacterized LOC726997,0 vs 8; 2 vs 8,0.19,0.21,-0.08,-0.29,0.01,-0.28,-0.49,-0.29,-0.5,0.37
LOC100576748,uncharacterized LOC100576748,0 vs 8; 2 vs 8,4.02,-1.27,4.89,8.39,-5.29,0.87,4.37,6.16,9.66,-3.41
LOC102656029,homeobox protein Hmx,0 vs 8; 2 vs 8,-0.02,-0.04,-0.02,-0.09,-0.02,0,-0.07,0.02,-0.05,-0.04
Y-h,yellow-h,0 vs 8; 2 vs 8,1.02,0.11,2.22,3.58,-0.91,1.2,2.56,2.11,3.47,-2.1
LOC413098,"glucose dehydrogenase [FAD, quinone]",0 vs 8; 2 vs 8,0.05,0.01,-0.45,-0.61,-0.04,-0.5,-0.66,-0.46,-0.62,0.54
LOC100578334,transcription factor 21,0 vs 8; 2 vs 8,-0.08,-0.26,-0.31,-0.29,-0.18,-0.22,-0.21,-0.04,-0.03,0.25
LOC725089,cuticular protein,0 vs 8; 2 vs 8,1.96,-0.08,3.78,6.09,-2.03,1.82,4.13,3.85,6.17,-3.64
LOC100578730,uncharacterized LOC100578730,0 vs 8; 2 vs 8,1.88,-0.98,2.91,5.31,-2.86,1.03,3.43,3.89,6.28,-2.53
LOC107965449,ras-related protein RabJ,0 vs 8; 2 vs 8,0.02,0.2,0.23,0.25,0.18,0.2,0.23,0.03,0.05,-0.25
LOC410464,protein escargot,0 vs 8; 2 vs 8,0.1,0.17,0.22,0.15,0.07,0.12,0.05,0.05,-0.02,-0.16
LOC102656548,nucleoside diphosphate kinase homolog 5,0 vs 8; 2 vs 8,-0.08,-0.03,-0.54,-0.45,0.05,-0.46,-0.37,-0.51,-0.42,0.6
LOC409663,lysozyme,0 vs 8; 2 vs 8,-0.12,-0.05,-0.32,-0.31,0.07,-0.19,-0.19,-0.26,-0.26,0.36
LOC102655707,uncharacterized LOC102655707,0 vs 8; 2 vs 8,-0.17,0.08,-0.52,-0.44,0.25,-0.35,-0.27,-0.6,-0.52,0.61
LOC551890,probable serine incorporator,0 vs 8; 2 vs 8,0.09,0.16,0.26,0.48,0.07,0.17,0.39,0.1,0.32,-0.23
LOC725770,phosphatidylinositol 3-kinase catalytic subunit type 3,0 vs 8; 2 vs 8,-0.07,0.15,0.27,0.37,0.22,0.34,0.44,0.12,0.22,-0.24
LOC408280,cell surface glycoprotein 1,0 vs 8; 2 vs 8,0.08,0.58,0.06,0.16,0.49,-0.02,0.08,-0.51,-0.42,0.15
Cpap3-c,cuticular protein analogous to peritrophins 3-C,0 vs 8; 2 vs 8,0.32,0.04,0.94,1.51,-0.29,0.62,1.19,0.9,1.47,-0.86
LOC410189,5'-nucleotidase domain-containing protein 3,0 vs 8; 2 vs 8,0.01,-0.1,-0.05,-0.28,-0.11,-0.06,-0.29,0.05,-0.19,0.05
LOC102656198,serine/arginine repetitive matrix protein 1-like,0 vs 8; 2 vs 8,1.16,1.27,3.99,4.82,0.11,2.84,3.66,2.72,3.55,-3.56
LOC100577291,uncharacterized LOC100577291,0 vs 8; 2 vs 8,0.02,0.04,-0.36,-0.37,0.02,-0.38,-0.39,-0.4,-0.41,0.62
LOC726639,oxidized low-density lipoprotein receptor 1,0 vs 8; 2 vs 8,-0.09,-0.13,0.52,1.05,-0.04,0.61,1.14,0.65,1.18,-0.59
LOC100578587,putative uncharacterized protein DDB_G0282133,0 vs 8; 2 vs 8,2.48,0.53,5.02,6.33,-1.95,2.54,3.86,4.49,5.81,-4.6
LOC552191,endoplasmic reticulum resident protein 44,0 vs 8; 2 vs 8,0.01,0.08,0.19,0.18,0.06,0.17,0.16,0.11,0.1,-0.22
LOC409870,minor histocompatibility antigen H13,0 vs 8; 2 vs 8,-0.03,-0.08,0.02,0.13,-0.05,0.05,0.16,0.1,0.22,-0.14
LOC100577783,"protein Skeletor, isoforms B/C",0 vs 8; 2 vs 8,0.35,-0.17,1.04,2.26,-0.52,0.69,1.91,1.21,2.43,-1.1
Fibroin3,silk fibroin 3,0 vs 8; 2 vs 8,0.2,0.54,0.66,0.22,0.34,0.46,0.02,0.12,-0.32,-0.33
Usp,ultraspiracle,0 vs 8; 2 vs 8,0.24,0.12,0.2,0.14,-0.12,-0.04,-0.1,0.08,0.02,-0.22
LOC102654783,uncharacterized LOC102654783,0 vs 8; 2 vs 8,-0.17,-0.03,0.58,0.65,0.14,0.74,0.82,0.6,0.68,-0.61
LOC102655983,sodium-independent sulfate anion transporter,0 vs 8; 2 vs 8,0.01,0.08,0.07,-0.01,0.07,0.06,-0.02,-0,-0.08,-0.08
LOC409485,cytoplasmic aconitate hydratase,0 vs 8; 2 vs 8,0.03,0.06,0.34,0.37,0.03,0.31,0.34,0.28,0.31,-0.43
LOC413502,protein Wnt-1,0 vs 8; 2 vs 8,0.03,0.07,-0.19,-0.36,0.03,-0.23,-0.39,-0.26,-0.42,0.31
LOC724822,glucose-fructose oxidoreductase domain-containing protein 2,0 vs 8; 2 vs 8,0,0.06,0.06,0.04,0.06,0.06,0.04,-0,-0.03,-0.1
LOC552217,uncharacterized LOC552217,0 vs 8; 2 vs 8,0.62,-0.1,1.86,3.61,-0.71,1.24,2.99,1.96,3.7,-1.86
LOC725396,THO complex subunit 4,0 vs 8; 2 vs 8,-0.02,-0.16,-0.37,-0.51,-0.15,-0.35,-0.49,-0.21,-0.34,0.35
LOC410801,cathepsin L1,0 vs 8; 2 vs 8,-0.35,-0.18,-0.59,-0.35,0.16,-0.25,-0,-0.41,-0.16,0.63
LOC725903,zinc finger protein 512B,0 vs 8; 2 vs 8,1.26,2.56,5.2,6.12,1.3,3.94,4.85,2.64,3.56,-4.44
LOC726162,homeobox protein goosecoid,0 vs 8; 2 vs 8,0.1,0.14,-0.05,-0.15,0.04,-0.15,-0.25,-0.19,-0.29,0.37
LOC100578001,uncharacterized LOC100578001,0 vs 8; 2 vs 8,0.2,0.08,-0.43,-0.29,-0.12,-0.63,-0.48,-0.51,-0.37,0.72
LOC102653932,uncharacterized LOC102653932,0 vs 8; 2 vs 8,0.1,0.51,0.75,1.55,0.41,0.65,1.45,0.24,1.04,-0.82
LOC551872,porphobilinogen deaminase,0 vs 8; 2 vs 8,0.15,0.1,0.18,0.27,-0.04,0.03,0.13,0.07,0.17,-0.17
LOC100577222,uncharacterized LOC100577222,0 vs 8; 2 vs 8,-0.06,-0.09,-0.03,0.3,-0.03,0.03,0.36,0.05,0.39,0.28
CPR4,cuticular protein 4,0 vs 8; 2 vs 8,0.55,-0.09,1.56,3.41,-0.64,1.01,2.86,1.65,3.5,-1.62
LOC408622,protein henna,0 vs 8; 2 vs 8,-0.18,0.08,-0.49,-0.49,0.26,-0.31,-0.31,-0.57,-0.57,0.56
LOC102656621,uncharacterized LOC102656621,0 vs 8; 2 vs 8,0.12,-0.08,-0.29,-0.16,-0.2,-0.41,-0.28,-0.21,-0.08,0.59
LOC551802,radial spoke head protein 6 homolog A,0 vs 8; 2 vs 8,0.31,-0.03,0.77,0.79,-0.35,0.46,0.47,0.81,0.82,-0.78
LOC727081,uncharacterized LOC727081,0 vs 8; 2 vs 8,-0.08,-0.21,-0.57,-0.51,-0.13,-0.5,-0.43,-0.37,-0.3,0.68
LOC725936,titin homolog,0 vs 8; 2 vs 8,0.11,0.27,-0,0,0.17,-0.11,-0.1,-0.27,-0.27,0.1
LOC552736,phosphoglycerate mutase 2,0 vs 8; 2 vs 8,0.01,0.02,0.21,0.32,0,0.2,0.3,0.19,0.3,-0.22
LOC550659,adiponectin receptor protein,0 vs 8; 2 vs 8,0.06,0.07,0.05,0.01,0.01,-0,-0.04,-0.02,-0.06,-0.09
LOC412630,scavenger receptor class B member 1,0 vs 8; 2 vs 8,0.13,0.25,0.52,0.1,0.12,0.39,-0.03,0.27,-0.15,-0.7
LOC102655676,uncharacterized LOC102655676,0 vs 8; 2 vs 8,-0.16,-0.43,-0.39,-0.31,-0.27,-0.23,-0.15,0.04,0.12,0.58
nAChRb1,nicotinic acetylcholine receptor beta1 subunit,0 vs 8; 2 vs 8,0.27,0.41,-0.23,-0.05,0.14,-0.5,-0.32,-0.64,-0.46,0.31
LOC100577574,leucine-rich repeat-containing protein 4C,0 vs 8; 2 vs 8,-0.06,-0.05,0.02,0.05,0.01,0.08,0.11,0.07,0.1,-0.05
LOC727010,circadian clock-controlled protein,0 vs 8; 2 vs 8,0.26,-0.12,0.9,1.86,-0.39,0.64,1.6,1.03,1.98,-0.99
LOC551711,kinesin A,0 vs 8; 2 vs 8,-0.23,-0.18,-0.5,-0.69,0.05,-0.26,-0.45,-0.31,-0.5,0.54
LOC100576271,dentin sialophosphoprotein,0 vs 8; 2 vs 8,-0.15,-0.12,-0.28,-0.12,0.03,-0.13,0.03,-0.16,0,0.29
TyHyd,tyrosine hydroxylase,0 vs 8; 2 vs 8,1.11,-0.31,1.87,3.57,-1.42,0.77,2.46,2.18,3.88,-1.94
LOC552651,stress response protein NST1,0 vs 8; 2 vs 8,0.28,0.12,-0.22,-0.09,-0.16,-0.5,-0.37,-0.34,-0.2,0.4
LOC724747,otoferlin,0 vs 8; 2 vs 8,0.35,0.14,0.23,0.23,-0.21,-0.12,-0.12,0.09,0.09,-0.36
LOC724740,fork head domain transcription factor slp2,0 vs 8; 2 vs 8,-0.03,0.09,-0.19,-0.08,0.11,-0.16,-0.06,-0.27,-0.17,0.24
LOC550806,coatomer subunit alpha,0 vs 8; 2 vs 8,0.15,0.13,0.14,0.09,-0.01,-0.01,-0.06,0,-0.04,-0.14
LOC726180,transcription factor Sox-19b-like,0 vs 8; 2 vs 8,-0.02,-0.04,-0.2,-0.29,-0.02,-0.18,-0.28,-0.16,-0.25,0.33
LOC410282,uncharacterized LOC410282,0 vs 8; 2 vs 8,0.34,0.24,-0.44,-0.62,-0.09,-0.77,-0.96,-0.68,-0.86,0.88
Apime-ASTA,allatostatin A,0 vs 8; 2 vs 8,-0.07,-0.03,-0.46,-0.46,0.04,-0.39,-0.39,-0.43,-0.43,0.5
LOC413550,neuropeptide CCHamide-2 receptor,0 vs 8; 2 vs 8,0.12,0.18,-0.01,-0.16,0.06,-0.12,-0.28,-0.18,-0.34,0.13
LOC411677,mitochondrial pyruvate carrier 1,0 vs 8; 2 vs 8,-0.16,-0.23,-0.3,-0.12,-0.07,-0.13,0.04,-0.07,0.11,0.31
LOC410743,"glucose dehydrogenase [FAD, quinone]",0 vs 8; 2 vs 8,0.14,0.35,-0.29,-0.9,0.21,-0.44,-1.05,-0.64,-1.26,0.39
LOC100576795,uncharacterized protein YJR142W,0 vs 8; 2 vs 8,0.42,0.33,0.49,0.21,-0.09,0.07,-0.21,0.16,-0.12,-0.5
LOC414021,uncharacterized LOC414021,0 vs 8; 2 vs 8,0.09,0.39,0.67,0.51,0.29,0.58,0.42,0.28,0.12,-0.8
LOC411330,uncharacterized LOC411330,0 vs 8; 2 vs 8,-0.01,0.34,-0.36,-0.46,0.35,-0.35,-0.46,-0.7,-0.8,0.65
LOC102656505,uncharacterized LOC102656505,0 vs 8; 2 vs 8,0.05,0.26,-0.03,0.22,0.21,-0.08,0.17,-0.29,-0.04,0.24
LOC552144,major facilitator superfamily domain-containing protein 8,0 vs 8; 2 vs 8,0.03,0.13,0.19,0.24,0.1,0.15,0.2,0.05,0.1,-0.2
